date,hour,tweet
28-04-20,10:10:00,b'RT @mgtivepandemi: \xe2\x80\xa2Suriyeli g\xc3\xb6\xc3\xa7menlere Avrupa Birli\xc4\x9fi taraf\xc4\xb1ndan sa\xc4\x9flanan nakit destek i\xc3\xa7in salg\xc4\xb1n s\xc3\xbcresince hak sahibi olma ko\xc5\x9fullar\xc4\xb1 esn\xe2\x80\xa6'
28-04-20,7:56:00,b'@merdanyanardag Tam bir pisliksiniz  ya d\xc3\xbcne kadar suriyeli istemeyen siz bug\xc3\xbcn hak savunuyorsunuz. Karaktersiz foseptik \xc3\xa7ukurlar\xc4\xb1'
28-04-20,7:19:00,b'RT @ZuhalNurdan: @burcuas @zekikayahan Polisimin yan\xc4\xb1nday\xc4\xb1m diyenlere bu kez hak vermiyorum! Suriyeli veya T\xc3\xbcrk farketmez gencecik \xc3\xa7ocu\xc4\x9fu i\xe2\x80\xa6'
28-04-20,7:04:00,b'RT @mesgiin: #AliyiOldurenlerNerede Suriyeli diye 17 ya\xc5\x9f\xc4\xb1nda gencecik bir \xc3\xa7ocu\xc4\x9fu kalbinden vurarak \xc3\xb6ld\xc3\xbcrmek hak de\xc4\x9fildir! Bakalim ka\xc3\xa7 g\xc3\xbcne\xe2\x80\xa6'
28-04-20,2:45:30,"b'RT @senakaleli: K\xc3\xbc\xc3\xa7\xc3\xbcmsedikleri, g\xc3\xbcnahkar ve sapk\xc4\xb1n dedikleri bir insan\xc4\xb1n d\xc3\xbcnyay\xc4\xb1 kurtard\xc4\xb1\xc4\x9f\xc4\xb1n\xc4\xb1 d\xc3\xbc\xc5\x9f\xc3\xbcn\xc3\xbcnce insanl\xc4\xb1k, hak ve vicdan\xc4\xb1m\xc4\xb1z hareket\xe2\x80\xa6'"
28-04-20,6:55:00,b'RT @ZuhalNurdan: @burcuas @zekikayahan Polisimin yan\xc4\xb1nday\xc4\xb1m diyenlere bu kez hak vermiyorum! Suriyeli veya T\xc3\xbcrk farketmez gencecik \xc3\xa7ocu\xc4\x9fu i\xe2\x80\xa6'
28-04-20,6:37:00,b'#suriyeli cok yazik 17 yasinda bir cocuk kalbinden vurulmayi hak edicek ne yapti!'
28-04-20,6:03:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
28-04-20,6:59:00,b'\xe2\x80\xa2Suriyeli g\xc3\xb6\xc3\xa7menlere Avrupa Birli\xc4\x9fi taraf\xc4\xb1ndan sa\xc4\x9flanan nakit destek i\xc3\xa7in salg\xc4\xb1n s\xc3\xbcresince hak sahibi olma ko\xc5\x9fullar\xe2\x80\xa6 https://t.co/NdTvk5pG4H'
28-04-20,5:30:00,b'#AliyiOldurenlerNerede Suriyeli diye 17 ya\xc5\x9f\xc4\xb1nda gencecik bir \xc3\xa7ocu\xc4\x9fu kalbinden vurarak \xc3\xb6ld\xc3\xbcrmek hak de\xc4\x9fildir! Bakali\xe2\x80\xa6 https://t.co/MxSYVRd6uy'
28-04-20,2:23:00,b'RT @Levent66480097: #4447Vakas\xc4\xb1 ile \xc4\xb0stenen primin iki kat\xc4\xb1 prim \xc3\xb6dememize ra\xc4\x9fmen hak etti\xc4\x9fimiz \xc3\xbclke kaynaklar\xc4\xb1 Suriyeli ve yanda\xc5\x9flar aras\xc4\xb1\xe2\x80\xa6'
28-04-20,5:42:00,b'RT @ZuhalNurdan: @burcuas @zekikayahan Polisimin yan\xc4\xb1nday\xc4\xb1m diyenlere bu kez hak vermiyorum! Suriyeli veya T\xc3\xbcrk farketmez gencecik \xc3\xa7ocu\xc4\x9fu i\xe2\x80\xa6'
28-04-20,3:26:00,"b'RT @dilekeskii: Umar\xc4\xb1m gencin \xc3\xb6l\xc3\xbcm\xc3\xbcne sebep olan polisler hak etti\xc4\x9fi cezay\xc4\xb1 al\xc4\xb1rlar. Y\xc4\xb1llarca Suriyeliler defolsun diyenler, Suriyelileri i\xe2\x80\xa6'"
28-04-20,3:49:00,b'@burcuas @zekikayahan Polisimin yan\xc4\xb1nday\xc4\xb1m diyenlere bu kez hak vermiyorum! Suriyeli veya T\xc3\xbcrk farketmez gencecik \xc3\xa7\xe2\x80\xa6 https://t.co/2UGXBW7SQr'
28-04-20,4:01:00,b'@sevdaturkusev Yasa\xc4\x9fa uymad\xc4\xb1 diye kimse \xc3\xb6ld\xc3\xbcr\xc3\xbclmez!S\xc4\xb1rf suriyeli diye \xc3\xb6l\xc3\xbcm\xc3\xbc hak g\xc3\xb6renler insan k\xc4\xb1l\xc4\xb1\xc4\x9f\xc4\xb1nda bir canidi\xe2\x80\xa6 https://t.co/Ymqsvic8Cu'
28-04-20,3:23:00,b'\xc3\x87o\xc3\xa7uk Suriyeli diye \xc3\xa7o\xc3\xa7u\xc4\x9fu \xc3\xb6ld\xc3\xbcren polise hak verenler var olay\xc4\xb1 \xc4\xb1rk\xc3\xa7\xc4\xb1l\xc4\xb1\xc4\x9fa g\xc3\xb6t\xc3\xbcr\xc3\xbcp k\xc3\xbc\xc3\xa7\xc3\xbck bir \xc3\xa7o\xc3\xa7u\xc4\x9fa ter\xc3\xb6rist diyen\xe2\x80\xa6 https://t.co/9p0a82fPBQ'
28-04-20,4:42:00,b'RT @ZuhalNurdan: @burcuas @zekikayahan Polisimin yan\xc4\xb1nday\xc4\xb1m diyenlere bu kez hak vermiyorum! Suriyeli veya T\xc3\xbcrk farketmez gencecik \xc3\xa7ocu\xc4\x9fu i\xe2\x80\xa6'
28-04-20,5:00:00,"b'@Daliyildiz212 \xc3\x87\xc3\xbcnk\xc3\xbc biz asl\xc4\xb1na bakmadan hak arayanlar\xc4\xb1z l\xc3\xa2kin ""g\xc3\xb6r\xc3\xbcnen k\xc3\xb6y k\xc4\xb1lavuz istemez"" misali, s\xc3\xbcrekli Suriye\xe2\x80\xa6 https://t.co/pWwriCKCIS'"
28-04-20,5:16:00,b'suriyeli oldu\xc4\x9fu i\xc3\xa7in \xc3\xb6l\xc3\xbcm\xc3\xbc hak etti\xc4\x9fini savunan zihniyetlere sahip insanlarla ayn\xc4\xb1 havay\xc4\xb1 solumak bile mide buland\xc4\xb1r\xc4\xb1c\xc4\xb1'
28-04-20,4:40:00,"b'RT @nupeldayim: ali\xe2\x80\x99yi \xc3\xb6ld\xc3\xbcrenler, ali suriyeli oldu\xc4\x9fu i\xc3\xa7in bu kadar hoyrat\xc3\xa7a hareket etmeyi kendilerine hak g\xc3\xb6r\xc3\xbcyorlar. polisler, bir \xc3\xa7ocu\xe2\x80\xa6'"
29-04-20,12:28:00,"b'Bu \xc3\xa7ocuklar art\xc4\xb1k yetenek s\xc4\xb1navlar\xc4\xb1yla istedikleri b\xc3\xb6l\xc3\xbcmlere girmeyi hak ediyorlar? Yoruldular, b\xc4\xb1kt\xc4\xb1lar. Suriyeli\xe2\x80\xa6 https://t.co/0rWqLAU4qb'"
29-04-20,3:53:00,b'RT @ZuhalNurdan: @burcuas @zekikayahan Polisimin yan\xc4\xb1nday\xc4\xb1m diyenlere bu kez hak vermiyorum! Suriyeli veya T\xc3\xbcrk farketmez gencecik \xc3\xa7ocu\xc4\x9fu i\xe2\x80\xa6'
